customer_id,deal_idx_customer_id,provider,amount,transaction_type,contract_length,exact_match,timestamp,account_id,active,number_of_days_left,days_overrun,account_start_time,account_end_time
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,31.48,direct debit,24,,2022-03-09,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,31.48,direct debit,24,,2022-04-06,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,34.41,direct debit,24,exact,2022-05-09,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,34.41,direct debit,24,exact,2022-06-06,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,34.41,direct debit,24,exact,2022-07-07,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,34.41,direct debit,24,exact,2022-08-08,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,34.41,direct debit,24,exact,2022-09-06,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,34.53,direct debit,24,exact,2022-10-07,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0a01a79-5ca1-4e46-9338-118ca0758a3b,deal_1_c0a01a79-5ca1-4e46-9338-118ca0758a3b,EE,34.41,direct debit,24,exact,2022-11-07,5de6040fafdb5da4fb9e130688473504,yes,488,0,2022-03-09,2022-11-07
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,63.32,direct debit,24,exact,2021-08-03,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,64.37,direct debit,24,exact,2021-09-06,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,63.95,direct debit,24,exact,2021-10-04,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,63.25,direct debit,24,exact,2021-11-03,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,63.32,direct debit,24,exact,2021-12-06,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,55.68,direct debit,24,exact,2022-01-06,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,64.37,direct debit,24,exact,2022-02-03,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,68.14,direct debit,24,exact,2022-03-07,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c0fea999-db1a-47f6-b59a-7a47a7520bd9,deal_1_c0fea999-db1a-47f6-b59a-7a47a7520bd9,BT,66.68,direct debit,24,exact,2022-04-04,1dc8dbe954d7f7ae365361952fdfb9d8,yes,486,0,2021-08-03,2022-04-04
c1ad133b-ec1e-4e8e-bae8-c14804cb3387,deal_1_c1ad133b-ec1e-4e8e-bae8-c14804cb3387,VODAFONE,43.6,debit,24,exact,2022-02-15,1c930f6fc24870f3260d9d88b15cad3c,yes,553,0,2022-02-15,2022-08-11
c1ad133b-ec1e-4e8e-bae8-c14804cb3387,deal_1_c1ad133b-ec1e-4e8e-bae8-c14804cb3387,VODAFONE,43.6,debit,24,exact,2022-03-14,1c930f6fc24870f3260d9d88b15cad3c,yes,553,0,2022-02-15,2022-08-11
c1ad133b-ec1e-4e8e-bae8-c14804cb3387,deal_1_c1ad133b-ec1e-4e8e-bae8-c14804cb3387,VODAFONE,47.16,debit,24,exact,2022-04-12,1c930f6fc24870f3260d9d88b15cad3c,yes,553,0,2022-02-15,2022-08-11
c1ad133b-ec1e-4e8e-bae8-c14804cb3387,deal_1_c1ad133b-ec1e-4e8e-bae8-c14804cb3387,VODAFONE,52.94,debit,24,exact,2022-05-11,1c930f6fc24870f3260d9d88b15cad3c,yes,553,0,2022-02-15,2022-08-11
c25082b1-5c63-4e3d-bb90-a0df2bd9af0c,deal_1_c25082b1-5c63-4e3d-bb90-a0df2bd9af0c,VIRGIN,30.9,direct debit,18,exact,2023-03-13,a5de318cc02c28c0b42e18ffb56d6579,yes,431,0,2023-02-13,2023-07-10
